a52dec 0.7.4-11
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
licenses 20200427-1
lilv 0.24.8-2
linux 5.8.8.arch1-1
linux-api-headers 5.8-1
linux-firmware 20200817.7a30af1-1
llvm-libs 10.0.1-2
lm_sensors 3.6.0-2
loginized 1.4.0-2
lolcat 100.0.0-2
lsd 0.16.0-2
lsof 4.93.2-3
lsp-plugins 1.1.24-1
lua 5.4.0-2
lua52 5.2.4-5
lua52-bitop 1.0.2-9
lua52-expat 1.3.0-5
lua52-lpeg 1.0.2-3
lua52-luajson 1.3.4-3
lua52-socket 20200329-1
lvm2 2.02.187-3
lz4 1:1.9.2-2
lzo 2.10-3
m4 1.4.18-3
mailcap 2.1.49-1
mailspring 1.7.8-1
make 4.3-3
mallard-ducktype 1.0.2-4
man-db 2.9.3-1
man-pages 5.08-1
md4c 0.4.5-1
mdadm 4.1-2
mesa 20.1.7-1
meson 0.55.2-1
minizip 1:1.2.11-4
mjpegtools 2.1.0-5
mkinitcpio 28-1
mkinitcpio-busybox 1.31.1-2
mobile-broadband-provider-info 20190618-2
mongodb-bin 4.4.0-1
mongodb-tools 4.2.8-1
mpfr 4.1.0-1
mpg123 1.26.3-2
mtdev 1.1.6-1
mtpfs 1.1-4
muffin 4.6.3-1
mutter 3.36.6-1
nano 5.2-1
ncdu 1.15.1-2
ncurses 6.2-1
ndctl 69-1
nemo 4.6.5-1
nemo-fileroller 4.6.0-1
neofetch 7.1.0-1
neon 0.31.2-1
net-snmp 5.8-6
net-tools 1.60.20181103git-2
netpbm 10.73.32-1
nettle 3.6-1
network-manager-applet 1.18.0-1
networkmanager 1.26.2-1
ninja 1.10.1-1
nm-connection-editor 1.18.0-1
node-gyp 7.1.0-1
nodejs 14.10.1-1
noto-fonts-cjk 20190409-2
noto-fonts-emoji 20200720-1
npm 6.14.8-1
npth 1.6-2
nspr 4.28-1
nss 3.56-1
ntfs-3g 2017.3.23-5
ookla-speedtest-bin 1.0.0-3
openal 1.20.1-2
opencore-amr 0.1.5-4
openexr 2.5.3-1
openjpeg2 2.3.1-2
openmpi 4.0.4-1
openssh 8.3p1-4
openssl 1.1.1.g-2
openssl-1.0 1.0.2.u-1
opus 1.3.1-2
orc 0.4.31-2
os-prober 1.77-2
osinfo-db 20200529-1
p11-kit 0.23.21-1
pacman 5.2.2-1
pacman-mirrorlist 20200801-1
pam 1.4.0-3
pam_wrapper 1.0.7-1
pambase 20200721.1-2
pango 1:1.46.1-1
pangomm 2.42.1-2
parallel 20200322-1
parted 3.3-2
patch 2.7.6-8
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.35-1
perl 5.32.0-1
perl-clone 0.45-2
perl-encode-locale 1.05-7
perl-error 0.17029-2
perl-file-listing 6.04-8
perl-html-parser 3.73-1
perl-html-tagset 3.20-10
perl-http-cookies 6.08-3
perl-http-daemon 6.06-2
perl-http-date 6.05-3
perl-http-message 6.25-1
perl-http-negotiate 6.01-8
perl-io-html 1.001-7
perl-libwww 6.47-1
perl-lwp-mediatypes 6.02-8
perl-mailtools 2.21-4
perl-net-http 6.19-4
perl-timedate 2.33-2
perl-try-tiny 0.30-5
perl-uri 1.76-4
perl-www-robotrules 6.02-8
perl-xml-parser 2.46-2
pinentry 1.1.0-5
pipewire 0.3.10-1
pixman 0.40.0-1
pkgconf 1.7.3-1
polkit 0.117-1
polkit-gnome 0.105-5
polkit-qt5 0.113.0-2
poppler 20.09.0-1
poppler-glib 20.09.0-1
popt 1.18-1
portaudio 1:19.6.0-7
postgresql 12.4-1
postgresql-libs 12.4-1
procps-ng 3.3.16-2
psmisc 23.3-2
pulseaudio 13.0-3
pulseaudio-alsa 1:1.2.2-2
pulseaudio-bluetooth 13.0-3
pulseeffects 4.8.0-2
pycharm-professional 2020.2.1-1
pygobject-devel 3.36.1-1
pygtk 2.24.0-12
python 3.8.5-2
python-anytree 2.8.0-1
python-appdirs 1.4.4-1
python-asn1crypto 1.4.0-1
python-atspi 2.36.0-1
python-attrs 20.2.0-1
python-bcrypt 3.2.0-1
python-beaker 1.11.0-4
python-cachecontrol 0.12.6-1
python-cached-property 1.5.1-4
python-cairo 1.19.1-1
python-cffi 1.14.2-1
python-chardet 3.0.4-5
python-click 7.1.2-1
python-colorama 0.4.3-1
python-contextlib2 0.6.0.post1-1
python-cryptography 3.1-1
python-dbus 1.2.16-1
python-dbus-common 1.2.16-1
python-dbusmock 0.19-1
python-distlib 0.3.1-1
python-distro 1.5.0-1
python-docker 4.3.1-1
python-docker-pycreds 0.4.0-5
python-dockerpty 0.4.1-6
python-docopt 0.6.2-7
python-dotenv 0.14.0-1
python-gobject 3.36.1-1
python-html5lib 1.1-1
python-idna 2.10-1
python-importlib-metadata 1.6.1-1
python-jsonschema 3.2.0-2
python-lxml 4.5.2-1
python-mako 1.1.3-1
python-markdown 3.2.2-1
python-markupsafe 1.1.1-4
python-msgpack 1.0.0-1
python-ordered-set 4.0.2-1
python-packaging 20.4-1
python-pam 1.8.4-4
python-paramiko 2.7.2-1
python-pep517 0.8.2-1
python-pexpect 4.8.0-1
python-pillow 7.2.0-1
python-pip 20.1.1-1
python-ply 3.11-5
python-progress 1.5-3
python-psutil 5.7.2-1
python-ptyprocess 0.6.0-4
python-pycparser 2.20-1
python-pygments 2.6.1-3
python-pyinotify 0.9.6-7
python-pynacl 1.4.0-1
python-pyparsing 2.4.7-1
python-pyrsistent 0.17.1-1
python-pytoml 0.1.21-4
python-pytz 2020.1-2
python-requests 2.24.0-1
python-resolvelib 0.4.0-1
python-retrying 1.3.3-7
python-setproctitle 1.1.10-5
python-setuptools 1:50.3.0-1
python-six 1.15.0-1
python-texttable 1.6.3-1
python-tinycss2 1.0.2-3
python-toml 0.10.1-1
python-urllib3 1.25.10-1
python-webencodings 0.5.1-4
python-websocket-client 0.57.0-1
python-xapp 2.0.0-1
python-yaml 5.3.1-2
python-zipp 3.1.0-1
python2 2.7.18-2
python2-appdirs 1.4.4-1
python2-cairo 1.18.2-4
python2-distutils-extra 2.39-5
python2-gconf 2.28.1-12
python2-gobject2 2.28.7-5
python2-keybinder2 0.3.1-3
python2-numpy 1.16.6-1
python2-ordered-set 3.1.1-3
python2-packaging 20.4-1
python2-pyparsing 2.4.7-1
python2-pyxdg 0.26-6
python2-setuptools 2:44.1.1-1
python2-six 1.15.0-1
qbittorrent 4.2.5-1
qca 2.3.1-2
qt5-base 5.15.0-5
qt5-declarative 5.15.0-2
qt5-imageformats 5.15.0-1
qt5-styleplugins 5.0.0.20170311-22
qt5-svg 5.15.0-1
qt5-wayland 5.15.0-1
qt5-x11extras 5.15.0-1
qt5ct 1.1-1
raptor 2.0.15-13
rav1e 0.3.3-1
readline 8.0.004-1
recode 3.7.7-1
reflector 2020.9-1
rest 0.8.1-3
ripgrep 12.1.1-1
rpmextract 1.0-9
rtkit 0.13-1
rtmpdump 1:2.4.r96.fa8646d-6
ruby 2.7.1-3
ruby-diff-lcs 1.4.4-1
ruby-irb 1.2.4-1
ruby-manpages 0.6.1-3
ruby-optimist 3.0.0-2
ruby-paint 2.1.0-2
ruby-rainbow 3.0.0-5
ruby-rdoc 6.2.0-2
ruby-reline 0.1.4-1
ruby-rspec 3.8.0-3
