7zip 24.09-3
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.8.1-1
libxkbcommon-x11 1.8.1-1
libxkbfile 1.1.3-1
libxmlb 0.3.22-1
libxmu 1.2.1-1
libxpm 3.5.17-2
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxres 1.2.2-2
libxshmfence 1.3.3-1
libxslt 1.1.43-1
libxss 1.2.4-2
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxvmc 1.0.14-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.3-1
lilv 0.24.26-1
linux 6.13.8.arch1-1
linux-firmware 20250311.b69d4b74-3
linux-headers 6.13.8.arch1-1
llvm-libs 19.1.7-1
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.33-1
logiops 0.3.5-1
lolcat 100.0.1-3
lsd 1.1.5-1
lsof 4.99.4-1
lua 5.4.7-1
lua52 5.2.4-7
luit 20240910-1
lv2 1.18.10-1
lvm2 2.03.31-1
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-2
mailspring 1.15.1-1
make 4.4.1-2
man-db 2.13.0-1
man-pages 6.13-1
mariadb 11.7.2-2
mariadb-clients 11.7.2-2
mariadb-libs 11.7.2-2
md4c 0.5.2-1
mdadm 4.4-1
media-player-info 26-1
mesa 1:25.0.2-2
mesa-utils 9.0.0-5
milou 6.3.3-1
minikube 1.35.0-1
minizip 1:1.3.1-2
modemmanager 1.22.0-1
modemmanager-qt5 5.116.0-1
mongodb-atlas-cli-bin 1.41.1-1
mongodb-compass 1.45.4-1
mongodb-tools 1:100.11.0-2
mtdev 1.1.7-1
mtools 1:4.0.48-1
mtpfs 1.1-5
nano 8.3-1
ndctl 79-1
neofetch 7.1.0-2
net-tools 2.10-3
netpbm 10.86.44-1
networkmanager 1.52.0-1
networkmanager-qt5 5.116.0-1
node-gyp 11.1.0-3
nodejs-lts-iron 20.18.3-1
nodejs-nopt 7.2.1-1
noto-fonts 1:2025.03.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji-blob 1:15.0-1
npm 11.2.0-1
ntfs-3g 2022.10.3-1
nvidia 570.133.07-2
obs-backgroundremoval 1.1.13-1
obs-studio 31.0.1-2
okular 24.12.3-1
oniguruma 6.9.10-1
ookla-speedtest-bin 1.2.0-1
openal 1.24.2-1
opencore-amr 0.1.6-2
openexr 3.3.3-1
openjpeg2 2.5.3-1
openmpi 5.0.7-3
openpmix 5.0.7-1
openssh 9.9p2-1
opus 1.5.2-1
orc 0.4.41-1
os-prober 1.83-1
oxygen-sounds 6.3.3-1
oxygen5 6.3.3-1
pacman 7.0.0.r6.gc685ae6-2
pacman-contrib 1.11.0-1
pahole 1:1.29-1
pango 1:1.56.3-1
pangomm 2.46.4-1
parallel 20250322-1
parted 3.6-2
patch 2.7.6-10
pavucontrol 1:6.1-1
perl-encode-locale 1.05-13
perl-file-listing 6.16-4
perl-html-parser 3.83-1
perl-html-tagset 3.24-2
perl-http-cookies 6.11-2
perl-http-daemon 6.16-4
perl-http-date 6.06-3
perl-http-message 7.00-1
perl-http-negotiate 6.01-14
perl-io-html 1.004-6
perl-libwww 6.78-1
perl-lwp-mediatypes 6.04-6
perl-net-http 6.23-4
perl-try-tiny 0.32-2
perl-uri 5.31-1
perl-www-robotrules 6.02-14
phonon-qt5 4.12.0-4
phonon-qt5-vlc 0.12.0-2
pipewire 1:1.4.1-1
pipewire-media-session 1:0.4.2-3
pixman 0.44.2-1
pkgconf 2.4.3-1
plasma-browser-integration 6.3.3-1
plasma-desktop 6.3.3-1
plasma-disks 6.3.3-1
plasma-firewall 6.3.3-1
plasma-framework5 5.116.0-1
plasma-meta 6.3-2
plasma-nm 6.3.3-1
plasma-pa 6.3.3-1
plasma-sdk 6.3.3-1
plasma-systemmonitor 6.3.3-1
plasma-thunderbolt 6.3.3-1
plasma-vault 6.3.3-1
plasma-workspace 6.3.3-1
plasma-workspace-wallpapers 6.3.3-1
plasma5-integration 6.3.3-1
polkit 126-2
polkit-kde-agent 6.3.3-1
polkit-qt5 0.200.0-1
poppler 25.03.0-1
poppler-qt5 25.03.0-1
postman-bin 11.37.1-1
powerdevil 6.3.3-1
ppp 2.5.2-1
prison5 5.116.0-1
protobuf 30.1-1
protobuf-c 1.5.1-2
pulseaudio 17.0+r43+g3e2bb8a1e-1
pulseaudio-bluetooth 17.0+r43+g3e2bb8a1e-1
purpose5 5.116.0-1
pycharm-professional 2024.3.5-1
python 3.13.2-1
python-anytree 2.12.1-4
python-appdirs 1.4.4-11
python-autocommand 2.2.2-7
python-cachecontrol 1:0.14.2-1
python-certifi 2025.01.31-1
python-cffi 1.17.1-2
python-chardet 5.2.0-6
python-colorama 0.4.6-5
python-commonmark 0.9.1-12
python-cryptography 44.0.2-1
python-distlib 0.3.9-2
python-distro 1.9.0-3
python-dnspython 1:2.7.0-1
python-docutils 1:0.21.2-3
python-html5lib 1.1-15
python-idna 3.10-2
python-importlib-metadata 7.2.1-4
python-inflect 7.5.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-lxml 5.3.1-1
python-markdown 3.7-2
python-more-itertools 10.6.0-1
python-msgpack 1.0.5-3
python-nspektr 0.5.0-3
python-numpy 2.2.4-1
python-ordered-set 4.1.0-7
python-packaging 24.2-3
python-pip 25.0.1-1
python-platformdirs 4.3.6-2
python-ply 3.11-14
python-pycparser 2.22-3
python-pydantic 2.10.6-1
python-pygments 2.19.1-1
python-pyopenssl 25.0.0-1
python-pyparsing 3.2.1-1
python-requests 2.32.3-4
python-resolvelib 1.1.0-2
python-rich 13.9.4-3
python-setuptools 1:75.8.0-1
python-six 1.17.0-1
python-tenacity 9.0.0-2
python-tomli 2.0.1-5
python-trove-classifiers 2025.3.19.19-1
python-typing_extensions 4.12.2-3
python-urllib3 2.3.0-1
python-validate-pyproject 0.24.1-1
python-webencodings 0.5.1-12
python-xlib 0.33-4
python-zipp 3.21.0-2
python311 3.11.11-1
qbittorrent 5.0.4-3
qca-qt5 2.3.10-1
qqc2-desktop-style5 5.116.1-1
qrencode 4.1.1-3
qt5-base 5.15.16+kde+r130-4
qt5-declarative 5.15.16+kde+r22-3
qt5-graphicaleffects 5.15.16-3
qt5-imageformats 5.15.16+kde+r2-3
qt5-location 5.15.16+kde+r7-4
qt5-multimedia 5.15.16+kde+r2-3
qt5-quickcontrols 5.15.16-3
qt5-quickcontrols2 5.15.16+kde+r5-3
qt5-sensors 5.15.16-3
qt5-speech 5.15.16+kde+r1-3
qt5-styleplugins 5.0.0.20170311-35
qt5-svg 5.15.16+kde+r5-3
qt5-tools 5.15.16+kde+r3-6
qt5-translations 5.15.16-3
qt5-wayland 5.15.16+kde+r60-1
qt5-webchannel 5.15.16+kde+r3-3
qt5-webengine 5.15.18-6
qt5-x11extras 5.15.16-3
qt6-5compat 6.8.3-1
qt6-base 6.8.3-1
